Date,Database,Query,Filters,ResultsFound,PapersScreened,PapersIncluded,Notes
2026-06-10,ISCA Archive,continued pre-training self-supervised speech models colloquial Finnish ASR,2024,1,1,BD21,Verified Interspeech 2024 primary source
2026-06-10,ISCA Archive,adapter pre-training low-resource adapter tuning self-supervised ASR,2024,1,1,BD22,Verified Interspeech 2024 primary source
2026-06-10,ISCA Archive,Learn and Don't Forget adding a new language ASR foundation models,2024,1,1,BD23,Verified Interspeech 2024 primary source
2026-06-10,ISCA Archive,heterogeneous data sources speech-to-text foundation models OWSM v3.2,2024,1,1,BC12,Upgraded BC12 to primary verified source
2026-06-10,arXiv/IEEE cross-check,Self-Training for End-to-End Speech Recognition ICASSP 2020,2019-2026,1,1,BE03,Verified arXiv record with ICASSP 2020 related DOI
2026-06-10,ISCA Archive,Improved Noisy Student Training for Automatic Speech Recognition,2020,1,1,BE04,Verified Interspeech 2020 primary source
2026-06-10,arXiv/IEEE cross-check,Uncertainty Driven Self-Training ASR DUST ICASSP 2021,2020-2021,1,1,BE05,Verified arXiv record with ICASSP 2021 comment
2026-06-10,ISCA Archive,Self-Adaptive Distillation for Multilingual Speech Recognition,2021,1,1,BE08,Verified Interspeech 2021 primary source
2026-06-10,ISCA Archive,Empowering Low-Resource Language ASR via Large-Scale Pseudo Labeling,2024,1,1,BE15,Verified Interspeech 2024 primary source
2026-06-10,arXiv,Better Pseudo-labeling with Multi-ASR Fusion and Error Correction by SpeechLLM,2025-2026,1,1,BE19,Watchlist-current
2026-06-10,arXiv,ReHear iterative pseudo-label refinement audio LLM ASR,2026,1,1,BE20,Watchlist-current
