CoreID,PrimaryPaperID,RelatedPaperIDs,CitationKey,BibTeXStatus,CitationLogStatus,Title,Year,Venue,VenueTier,VerificationStatus,UseLevel,Blocks,RQs,TaxonomyLayer,CoreRole,UseInSections,QualityRationale,RiskLevel,Notes
CORE-11,BA16,BA16,yang2021superb,Present,Verified-primary-source,SUPERB: Speech Processing Universal PERformance Benchmark,2021,Interspeech 2021,Top-tier,Verified-primary-source,Core-citable,A: framing/datasets/benchmarks,RQ2;RQ6,Bench|Eval,Low-resource ASR framing and benchmark context,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 4/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-12,BA17,BA17;BF03,conneau2022xtreme_s,Present,Verified-primary-source,XTREME-S: Evaluating Cross-lingual Speech Representations,2022,Interspeech 2022,Top-tier,Verified-primary-source,Core-citable,A: framing/datasets/benchmarks; F: evaluation/robustness,RQ2;RQ6,Bench|Eval,Low-resource ASR framing and benchmark context,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 4/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-13,BA18,BA18,javed2023indsuperb,Present,Verified-primary-source,IndicSUPERB: A Speech Processing Universal Performance Benchmark for Indian Languages,2023,Proceedings of the AAAI Conference on Artificial Intelligence,Top-tier,Verified-primary-source,Core-citable,A: framing/datasets/benchmarks,RQ1;RQ3;RQ6,Bench|Corpora,Low-resource ASR framing and benchmark context,Low-resource definition; scope; taxonomy,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-14,BA21,BA21,olatunji2023_afrispeech200,Needs-BibTeX,Verified-primary-source,AfriSpeech-200: Pan-African Accented Speech Dataset for Clinical and General Domain ASR,2023,Transactions of the Association for Computational Linguistics,Top-tier,Verified-primary-source,Core-citable,A: framing/datasets/benchmarks,RQ1;RQ6,Bench|Fair/Dialect,Low-resource ASR framing and benchmark context,Low-resource definition; scope; taxonomy,Top-tier venue | Verified-primary-source | relevance 4/5,Medium: verified in log but BibTeX entry still needed,Central support; do not overclaim beyond matrix limitations.
CORE-15,BB02,BB02,baevski2020wav2vec2,Present,Verified-primary-source,wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,2020,NeurIPS 2020,Top-tier,Verified-primary-source,Core-citable,B: foundation models,RQ2,Model layer|SSL encoder,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-16,BB03,BB03;BD04,conneau21_interspeech,Present,Verified-primary-source,Unsupervised Cross-lingual Representation Learning for Speech Recognition,2021,Interspeech 2021,Top-tier,Verified-primary-source,Core-citable,B: foundation models; D: adaptation,RQ2,Model layer|Multilingual SSL,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-17,BB04,BB04,hsu2021hubert,Present,Verified-secondary-source; primary venue DOI pending,HuBERT: Self-Supervised Speech Representation Learning by Masked Prediction of Hidden Units,2021,IEEE/ACM TASLP,Top-tier,Verified-secondary-source; primary source pending,High-value-citable,B: foundation models,RQ2,Model layer|SSL encoder,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Top-tier venue | Verified-secondary-source; primary source pending | relevance 5/5,Medium: use with corroborating primary evidence,Central support; do not overclaim beyond matrix limitations.
CORE-18,BB05,BB05,citation_block_b_04,Needs-BibTeX,Verified-secondary-source; primary ASRU/IEEE source pending,W2v-BERT: Combining Contrastive Learning and Masked Language Modeling for Self-Supervised Speech Pre-Training,2021,ASRU 2021,Strong,Verified-secondary-source; primary source pending,High-value-citable,B: foundation models,RQ2,Model layer|SSL encoder,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Strong venue | Verified-secondary-source; primary source pending | relevance 4/5,Medium: verified in log but BibTeX entry still needed,Central support; do not overclaim beyond matrix limitations.
CORE-19,BB06,BB06,pmlr-v162-chiu22a,Present,Verified-primary-source,Self-supervised Learning with Random-Projection Quantizer for Speech Recognition,2022,ICML 2022,Top-tier,Verified-primary-source,Core-citable,B: foundation models,RQ2,Model layer|SSL encoder,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 4/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-20,BB07,BB07,pmlr-v162-baevski22a,Present,Verified-primary-source,"data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language",2022,ICML 2022,Top-tier,Verified-primary-source,Core-citable,B: foundation models,RQ2,Model layer|SSL encoder,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 4/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-21,BB08,BB08,chen2022wavlm,Present,Verified-secondary-source; primary IEEE source pending,WavLM: Large-Scale Self-Supervised Pre-Training for Full Stack Speech Processing,2022,IEEE JSTSP,Strong,Verified-secondary-source; primary source pending,High-value-citable,B: foundation models,RQ2,Model layer|SSL encoder,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Strong venue | Verified-secondary-source; primary source pending | relevance 5/5,Medium: use with corroborating primary evidence,Central support; do not overclaim beyond matrix limitations.
CORE-22,BB09,BB09;BD05,babu22_interspeech,Present,Verified-primary-source,XLS-R: Self-supervised Cross-lingual Speech Representation Learning at Scale,2022,Interspeech 2022,Top-tier,Verified-primary-source,Core-citable,B: foundation models; D: adaptation,RQ2,Model layer|Multilingual scaling,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-23,BB10,BB10,ao2022speecht5,Present,Verified-primary-source,SpeechT5: Unified-Modal Encoder-Decoder Pre-Training for Spoken Language Processing,2022,ACL 2022 Long Papers,Top-tier,Verified-primary-source,Core-citable,B: foundation models,RQ2,Model layer|Speech-text joint pretraining,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 4/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-24,BB11,BB11,zhang2022speechut,Present,Verified-primary-source,SpeechUT: Bridging Speech and Text with Hidden-Unit for Encoder-Decoder Based Speech-Text Pre-training,2022,EMNLP 2022,Top-tier,Verified-primary-source,Core-citable,B: foundation models,RQ2,Model layer|Speech-text joint pretraining,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 4/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-25,BB12,BB12,zhang2024_speechlm,Present,Verified-secondary-source; primary journal source pending,SpeechLM: Enhanced Speech Pre-Training With Unpaired Textual Data,2024,IEEE/ACM TASLP,Top-tier,Verified-secondary-source; primary source pending,High-value-citable,B: foundation models,RQ2,Model layer|Speech-text joint pretraining,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Top-tier venue | Verified-secondary-source; primary source pending | relevance 4/5,Medium: use with corroborating primary evidence,Central support; do not overclaim beyond matrix limitations.
CORE-26,BB14,BB14;BD06,pmlr-v202-radford23a,Present,Verified-primary-source,Robust Speech Recognition via Large-Scale Weak Supervision,2023,ICML 2023,Top-tier,Verified-primary-source,Core-citable,B: foundation models; D: adaptation,RQ2,Model layer|Weakly supervised foundation ASR,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-27,BB16,BB16;BD07,pratap2024mms,Present,Verified-primary-source,"Scaling Speech Technology to 1,000+ Languages",2024,JMLR,Top-tier,Verified-primary-source,Core-citable,B: foundation models; D: adaptation,RQ2,Model layer|Multilingual scaling,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-28,BB17,BB17,citation_block_b_19,Needs-BibTeX,Verified-secondary-source; peer-reviewed venue pending,Joint speech and text machine translation for up to 100 languages,2025,arXiv/Meta 2023; peer-reviewed venue pending,Watchlist,Verified-secondary-source; peer-reviewed venue pending,High-value-citable,B: foundation models,RQ2,Model layer|Multilingual multimodal foundation model,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Watchlist venue | Verified-secondary-source; peer-reviewed venue pending | relevance 5/5,Medium: verified in log but BibTeX entry still needed,Central support; do not overclaim beyond matrix limitations.
CORE-29,BB19,BB19;BD10,geng25c_interspeech,Present,Verified-primary-source,Evaluating Speech Foundation Models for Automatic Speech Recognition in the Low-Resource Kanyen'keha Language,2025,Interspeech 2025,Top-tier,Verified-primary-source,Core-citable,B: foundation models; D: adaptation,RQ2,Model layer|Low-resource transfer evidence,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-30,BB22,BB22;BD11,tian25b_interspeech,Present,Verified-primary-source,OpusLM: A Family of Open Unified Speech Language Models,2025,Interspeech 2025,Top-tier,Verified-primary-source,Core-citable,B: foundation models; D: adaptation,RQ2,Model layer|Open SpeechLM,Foundation-model or SSL model backbone,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 4/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-31,BC01,BC01,ko15_interspeech,Present,Verified-primary-source,Audio augmentation for speech recognition,2015,Interspeech 2015,Strong,Verified-primary-source,Core-citable,C: data-centric strategies,RQ3,Data layer|Audio augmentation,Data-centric strategy anchor,Data-centric strategies; resources; normalization,Strong venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-32,BC02,BC02,park19e_interspeech,Present,Verified-primary-source,SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,2019,Interspeech 2019,Strong,Verified-primary-source,Core-citable,C: data-centric strategies,RQ3,Data layer|Feature augmentation,Data-centric strategy anchor,Data-centric strategies; resources; normalization,Strong venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-33,BC04,BA19;BC04,pratap20_interspeech,Present,Verified-primary-source,MLS: A Large-Scale Multilingual Dataset for Speech Research,2020,Interspeech 2020,Strong,Verified-primary-source,Core-citable,A: framing/datasets/benchmarks; C: data-centric strategies,RQ3,Data layer|Corpus construction,Low-resource ASR framing and benchmark context,Data-centric strategies; resources; normalization,Strong venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-34,BC05,BA05;BC05,wang2021voxpopuli,Present,Verified-primary-source,"VoxPopuli: A Large-Scale Multilingual Speech Corpus for Representation Learning, Semi-Supervised Learning and Interpretation",2021,ACL-IJCNLP 2021,Strong,Verified-primary-source,Core-citable,A: framing/datasets/benchmarks; C: data-centric strategies,RQ3,Data layer|Unlabeled data use,Low-resource ASR framing and benchmark context,Data-centric strategies; resources; normalization,Strong venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-35,BC08,BC08,chen21d_interspeech,Present,Verified-primary-source,Discriminative Self-Training for Punctuation Prediction,2021,Interspeech 2021,Strong,Verified-primary-source,High-value-citable,C: data-centric strategies,RQ3,Data layer|Transcript formatting / post-ASR normalization,Data-centric strategy anchor,Data-centric strategies; resources; normalization,Strong venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-36,BC12,BC12,tian24_interspeech,Present,Verified-primary-source,On the Effects of Heterogeneous Data Sources on Speech-to-Text Foundation Models,2024,Interspeech 2024,Top-tier,Verified-primary-source,High-value-citable,C: data-centric strategies,RQ3,Data layer|Foundation-model-era data pipelines,Data-centric strategy anchor,Data-centric strategies; resources; normalization,Top-tier venue | Verified-primary-source | relevance 4/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-37,BD01,BD01,pmlr-v97-houlsby19a,Present,Verified-primary-source,Parameter-Efficient Transfer Learning for NLP,2019,ICML / PMLR 2019,Top-tier,Verified-primary-source,Core-citable,D: adaptation,RQ4,Adaptation layer|Adapter tuning,Adaptation strategy anchor,Adaptation strategies; transfer; PEFT,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-38,BD02,BD02,hu2022lora,Present,Verified-primary-source,LoRA: Low-Rank Adaptation of Large Language Models,2022,ICLR / OpenReview 2022,Top-tier,Verified-primary-source,Core-citable,D: adaptation,RQ4,Adaptation layer|LoRA,Adaptation strategy anchor,Adaptation strategies; transfer; PEFT,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-39,BD03,BD03,dettmers2023qlora,Present,Verified-primary-source,QLoRA: Efficient Finetuning of Quantized LLMs,2023,NeurIPS / OpenReview 2023,Top-tier,Verified-primary-source,Core-citable,D: adaptation,RQ4,Adaptation layer|QLoRA,Adaptation strategy anchor,Adaptation strategies; transfer; PEFT,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-40,BD09,BD09,feng23_interspeech,Present,Verified-primary-source,Language-Universal Phonetic Representation in Multilingual Speech Pretraining for Low-Resource Speech Recognition,2023,Interspeech 2023,Top-tier,Verified-primary-source,Core-citable,D: adaptation,RQ4,Adaptation layer|Related-language transfer,Adaptation strategy anchor,Adaptation strategies; transfer; PEFT,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-41,BD21,BD21,getman24_interspeech,Present,Verified-primary-source,What happens in continued pre-training? Analysis of self-supervised speech models with continued pre-training for colloquial Finnish ASR,2024,Interspeech 2024,Top-tier,Verified-primary-source,Core-citable,D: adaptation,RQ4,Adaptation layer|Continued pretraining,Adaptation strategy anchor,Adaptation strategies; transfer; PEFT,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-42,BD22,BD22,udupa24_interspeech,Present,Verified-primary-source,Adapter pre-training for improved speech recognition in unseen domains using low resource adapter tuning of self-supervised models,2024,Interspeech 2024,Top-tier,Verified-primary-source,Core-citable,D: adaptation,RQ4,Adaptation layer|Adapter pre-training / low-resource adapter tuning,Adaptation strategy anchor,Adaptation strategies; transfer; PEFT,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-43,BD23,BD23,qian24_interspeech,Present,Verified-primary-source,Learn and Don't Forget: Adding a New Language to ASR Foundation Models,2024,Interspeech 2024,Top-tier,Verified-primary-source,Core-citable,D: adaptation,RQ4,Adaptation layer|New-language adaptation / forgetting control,Adaptation strategy anchor,Adaptation strategies; transfer; PEFT,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-44,BE03,BE03,kahn2019selftraining,Present,Verified-secondary-source; ICASSP DOI indicated by arXiv,Self-Training for End-to-End Speech Recognition,2020,arXiv / ICASSP 2020 related DOI noted,Strong,Verified-secondary-source; ICASSP DOI indicated by arXiv,High-value-citable,E: pseudo-labeling/KD,RQ5,Supervision layer|Self-training,Pseudo-labeling/KD evidence anchor,Pseudo-labeling; KD; self-training,Strong venue | Verified-secondary-source; ICASSP DOI indicated by arXiv | relevance 5/5,Medium: use with corroborating primary evidence,Central support; do not overclaim beyond matrix limitations.
CORE-45,BE04,BC11;BE04,park20d_interspeech,Present,Verified-secondary-source,Improved Noisy Student Training for Automatic Speech Recognition,2020,Interspeech 2020,Top-tier,Verified-primary-source,Core-citable,C: data-centric strategies; E: pseudo-labeling/KD,RQ5,Supervision layer|Noisy student training,Data-centric strategy anchor,Pseudo-labeling; KD; self-training,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-46,BE05,BC10;BE05,khurana2020dust,Present,Verified-secondary-source,Unsupervised Domain Adaptation for Speech Recognition via Uncertainty Driven Self-Training,2021,arXiv / ICASSP 2021 noted,Strong,Verified-secondary-source; ICASSP 2021 indicated by arXiv,High-value-citable,C: data-centric strategies; E: pseudo-labeling/KD,RQ5,Supervision layer|Uncertainty filtering,Data-centric strategy anchor,Pseudo-labeling; KD; self-training,Strong venue | Verified-secondary-source; ICASSP 2021 indicated by arXiv | relevance 5/5,Medium: use with corroborating primary evidence,Central support; do not overclaim beyond matrix limitations.
CORE-47,BE06,BE06,xu2020selftraining,Present,Verified-secondary-source,Self-training and Pre-training are Complementary for Speech Recognition,2020,arXiv / venue pending,Secondary,Verified-secondary-source,High-value-citable,E: pseudo-labeling/KD,RQ5,Supervision layer|SSL and pseudo-label complementarity,Pseudo-labeling/KD evidence anchor,Pseudo-labeling; KD; self-training,Secondary venue | Verified-secondary-source | relevance 4/5,Medium: use with corroborating primary evidence,Central support; do not overclaim beyond matrix limitations.
CORE-48,BE08,BE08,leal21_interspeech,Present,Verified-primary-source,Self-Adaptive Distillation for Multilingual Speech Recognition: Leveraging Student Independence,2021,Interspeech 2021,Top-tier,Verified-primary-source,Core-citable,E: pseudo-labeling/KD,RQ5,Supervision layer|Multi-teacher KD,Pseudo-labeling/KD evidence anchor,Pseudo-labeling; KD; self-training,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-49,BE13,BE13,farooq2023must,Present,Verified-secondary-source; ASRU 2023 indicated by arXiv,MUST: Multilingual Student-Teacher Learning for Low-Resource Automatic Speech Recognition,2023,ASRU accepted / secondary source,Secondary,Verified-secondary-source; ASRU 2023 indicated by arXiv,High-value-citable,E: pseudo-labeling/KD,RQ5,Supervision layer|Multi-teacher KD,Pseudo-labeling/KD evidence anchor,Pseudo-labeling; KD; self-training,Secondary venue | Verified-secondary-source; ASRU 2023 indicated by arXiv | relevance 4/5,Medium: use with corroborating primary evidence,Central support; do not overclaim beyond matrix limitations.
CORE-50,BE14,BE14,ferraz2023multilingualdistilwhisper,Present,Verified-secondary-source; ICASSP DOI indicated by arXiv,Multilingual DistilWhisper,2024,ICASSP 2024 related DOI / secondary source,Secondary,Verified-secondary-source; ICASSP DOI indicated by arXiv,High-value-citable,E: pseudo-labeling/KD,RQ5,Supervision layer|Speech foundation model distillation,Pseudo-labeling/KD evidence anchor,Pseudo-labeling; KD; self-training,Secondary venue | Verified-secondary-source; ICASSP DOI indicated by arXiv | relevance 4/5,Medium: use with corroborating primary evidence,Central support; do not overclaim beyond matrix limitations.
CORE-51,BE15,BE15,bhogale24_interspeech,Present,Verified-primary-source,Empowering Low-Resource Language ASR via Large-Scale Pseudo Labeling,2024,Interspeech 2024,Top-tier,Verified-primary-source,Core-citable,E: pseudo-labeling/KD,RQ5,Supervision layer|Low-resource pseudo-labeling,Pseudo-labeling/KD evidence anchor,Pseudo-labeling; KD; self-training,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-52,BF02,BA06;BF02,conneau2022fleurs,Present,Verified-primary-source,FLEURS: Few-shot Learning Evaluation of Universal Representations of Speech,2022,arXiv,Strong,Verified-secondary-source,Core-citable,A: framing/datasets/benchmarks; F: evaluation/robustness,RQ6,Evaluation layer|Multilingual benchmark,Low-resource ASR framing and benchmark context,Evaluation; robustness; AVSR/LLM agenda,Strong venue | Verified-secondary-source | relevance 5/5,Medium: use with corroborating primary evidence,Central support; do not overclaim beyond matrix limitations.
CORE-53,BF05,BF05,karita2023lenient,Present,Verified-secondary-source,Lenient Evaluation of Japanese Speech Recognition: Modeling Naturally Occurring Spelling Inconsistency,2023,arXiv,Secondary,Verified-secondary-source,High-value-citable,F: evaluation/robustness,RQ6,Evaluation layer|Orthographic/script normalization,Evaluation/robustness evidence anchor,Evaluation; robustness; AVSR/LLM agenda,Secondary venue | Verified-secondary-source | relevance 4/5,Medium: use with corroborating primary evidence,Central support; do not overclaim beyond matrix limitations.
CORE-54,BF08,BF08,cornell2023chime7,Present,Verified-secondary-source,The CHiME-7 DASR Challenge: Distant Meeting Transcription with Multiple Devices in Diverse Scenarios,2023,arXiv,Secondary,Verified-secondary-source,High-value-citable,F: evaluation/robustness,RQ6,Evaluation layer|Noise/far-field robustness,Evaluation/robustness evidence anchor,Evaluation; robustness; AVSR/LLM agenda,Secondary venue | Verified-secondary-source | relevance 4/5,Medium: use with corroborating primary evidence,Central support; do not overclaim beyond matrix limitations.
CORE-55,BF09,BF09,koenecke2020racialdisparities,Present,Verified-primary-source via DOI / publisher metadata; direct PNAS page may be access-restricted,Racial Disparities in Automated Speech Recognition,2020,PNAS,Top-tier,Verified-primary-source via DOI / publisher metadata; direct PNAS page may be access-restricted,High-value-citable,F: evaluation/robustness,RQ6,Evaluation layer|Demographic fairness,Evaluation/robustness evidence anchor,Evaluation; robustness; AVSR/LLM agenda,Top-tier venue | Verified-primary-source via DOI / publisher metadata; direct PNAS page may be access-restricted | relevance 4/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-56,BF10,BF10,liu2021casualconversations,Present,Verified-secondary-source,Towards Measuring Fairness in Speech Recognition: Casual Conversations Dataset Transcriptions,2021,arXiv,Secondary,Verified-secondary-source,High-value-citable,F: evaluation/robustness,RQ6,Evaluation layer|Demographic fairness,Evaluation/robustness evidence anchor,Evaluation; robustness; AVSR/LLM agenda,Secondary venue | Verified-secondary-source | relevance 4/5,Medium: use with corroborating primary evidence,Central support; do not overclaim beyond matrix limitations.
CORE-57,BF16,BF16,shi2022avhubert,Present,Verified-secondary-source,Learning Audio-Visual Speech Representation by Masked Multimodal Cluster Prediction,2022,arXiv,Strong,Verified-secondary-source,High-value-citable,F: evaluation/robustness,RQ6,Evaluation layer|Multimodal robustness,Evaluation/robustness evidence anchor,Evaluation; robustness; AVSR/LLM agenda,Strong venue | Verified-secondary-source | relevance 5/5,Medium: use with corroborating primary evidence,Central support; do not overclaim beyond matrix limitations.
CORE-58,BF17,BF17,shi2022robustavsr,Present,Verified-secondary-source,Robust Self-Supervised Audio-Visual Speech Recognition,2022,arXiv,Secondary,Verified-secondary-source,High-value-citable,F: evaluation/robustness,RQ6,Evaluation layer|Multimodal robustness,Evaluation/robustness evidence anchor,Evaluation; robustness; AVSR/LLM agenda,Secondary venue | Verified-secondary-source | relevance 4/5,Medium: use with corroborating primary evidence,Central support; do not overclaim beyond matrix limitations.
