PaperID,StrategyFamily,Paper,Year,Venue,ModelFamily,AdaptationType,DataCondition,LanguagesOrDatasets,TrainableParametersOrCompute,Strength,Limitation,BestUseCase,VerificationStatus,UseLevel
BD11,SpeechLM adaptation / continual pretraining,OpusLM: A Family of Open Unified Speech Language Models,2025,Interspeech 2025,OpusLM,Continual pretraining on speech-text and text-only tokens,Open speech-language modeling resources,Open speech-language modeling resources,Continual pretraining and staged training,SpeechLM training uses staged and continual pretraining strategies.,SpeechLM evidence should not replace ASR-specific anchors.,SpeechLM / future-facing adaptation; use after core ASR adaptation methods.,Verified-primary-source,High-value-citable
BD12,Adapter tuning,Efficient Adapter Transfer of Self-Supervised Speech Models for Automatic Speech Recognition,2022,Secondary source,wav2vec/HuBERT-style SSL speech models,Adapter transfer,Low-resource ASR settings,Low-resource ASR settings,Adapter parameters only,Adapters can adapt SSL speech models with fewer trainable parameters.,Primary venue not verified.,Adapter tuning support.,Verified-secondary-source,High-value-support
BD13,Continued pretraining,Continued Pretraining for Ainu Speech Recognition,2024,Secondary source,SSL / multilingual speech models,Continued pretraining and related-language transfer,Ainu or related-language low-resource ASR,Ainu or related-language low-resource ASR,Continued pretraining budget,Continued pretraining may align models to target or related languages.,Secondary source; exact venue needs verification.,Continued pretraining support.,Verified-secondary-source,High-value-support
BD14,Continued pretraining,Continued Pretraining vs. Semi-Supervised Training for Low-Resource ASR,2024,Secondary source,SSL speech models,Continued pretraining and semi-supervised training comparison,Low-resource ASR settings,Low-resource ASR settings,Compute depends on pretraining/self-training setup,Continued pretraining and semi-supervised training are linked adaptation choices.,Main pseudo-labeling treatment belongs in Block E.,Bridge to Block E; in Block D use for continued pretraining vs SST comparison only.,Verified-secondary-source,High-value-support / Block E bridge
BD15,Related-language transfer,Acoustic Pseudo-Token Transfer Prediction for Low-Resource Speech Recognition,2024,Secondary source,Multilingual speech models,Acoustic pseudo-token transfer prediction,Low-resource target languages with donor-language options,Low-resource target languages with donor-language options,Donor selection and continued pretraining,Donor-language selection can matter for continued pretraining transfer.,Secondary source; exact venue needs verification.,Related-language transfer support.,Verified-secondary-source,High-value-support
BD16,LoRA,Parameter-Efficient Fine-Tuning of SeamlessM4T for Low-Resource ASR,2025,arXiv,SeamlessM4T,Parameter-efficient tuning and text-only adaptation,Low-resource ASR tasks,Low-resource ASR tasks,PEFT modules; compute to verify,PEFT for SeamlessM4T is current but preprint-level.,Do not cite as peer-reviewed evidence.,Watchlist-current for multimodal PEFT.,Watchlist-ArXiv,Watchlist-current
BD17,LoRA,S2-LoRA on Whisper for Automatic Speech Recognition,2025,arXiv,Whisper,LoRA adaptation for ASR,ASR adaptation tasks,ASR adaptation tasks,Low-rank trainable parameters,ASR-specific Whisper LoRA is current but preprint-level.,Do not cite as peer-reviewed evidence.,Watchlist-current for ASR LoRA.,Watchlist-ArXiv,Watchlist-current
BD18,Prompt tuning,Soft Prompt Tuning for Whisper Code-Switching ASR,2025,arXiv,Whisper,Soft prompt tuning,Code-switching ASR,Code-switching ASR,Prompt parameters,Soft prompts can adapt Whisper behavior for code-switching ASR.,Preprint-level and task-specific.,Prompt-tuning watchlist.,Watchlist-ArXiv,Watchlist-current
BD19,Depth-aware adaptation,Adapting Where It Matters: Depth-Aware Adaptation for Efficient Multilingual Speech Recognition in Low-Resource Languages,2026,arXiv 2026,Multilingual speech models,Selective depth-aware adaptation,Low-resource multilingual ASR,Low-resource multilingual ASR,Layer/depth selective trainable parameters,Layer/depth selection is emerging for efficient ASR adaptation.,2026 preprint; not settled evidence.,Depth-aware adaptation watchlist.,Watchlist-ArXiv,Watchlist-current
BD20,Structured-SVD adaptation,SSVD-O: Parameter-Efficient Fine-Tuning with Structured SVD for Speech Recognition,2026,arXiv 2026,ASR transformer models,Structured SVD parameter-efficient tuning,ASR adaptation tasks,ASR adaptation tasks,Structured SVD trainable factors,Structured SVD PEFT is emerging for ASR adaptation.,2026 preprint; not settled evidence.,Structured-SVD PEFT watchlist.,Watchlist-ArXiv,Watchlist-current
BD21,Continued pretraining,Getman et al.,2024,Interspeech 2024,SSL speech models,Continued pretraining,Colloquial Finnish / less-resourced ASR,Finnish ASR,Target-language/domain alignment through continued pretraining,Shows continued pretraining can specialize multilingual SSL models for ASR.,Single language/domain case.,Best when unlabeled target-domain speech is available.,Verified-primary-source,Core-citable
BD22,Adapter pre-training / low-resource adapter tuning,Udupa et al.,2024,Interspeech 2024,wav2vec2/SSL speech models,Adapter tuning / adapter pre-training,Low-resource and unseen-domain ASR,3 datasets; 14 languages,Efficient adaptation with reduced trainable parameters,Reports 10-30% relative WER/CER improvement with Viterbi decoding in 13 of 14 languages across 3 datasets; use as direct ASR evidence for adapter-based PEFT.,Needs comparison across more foundation models.,Best when compute/storage constraints limit full fine-tuning.,Verified-primary-source,Core-citable
BD23,New-language adaptation / forgetting control,Qian et al.,2024,Interspeech 2024,ASR foundation models,"Soft language-code tuning, prompt tuning, LoRA, EWC, fine-tuning",Adding low-resource language to multilingual ASR,New-language adaptation,Forgetting-aware adaptation,Direct fine-tuning can improve the new target language most but may degrade existing language capability; adaptation-parameter methods preserve existing language ability with a target-language performance trade-off.,Trade-off remains unresolved.,Best when adding a new low-resource language without damaging existing languages.,Verified-primary-source,Core-citable
