"candidate_id","year","title","authors_or_team","venue_or_source","source_url_or_identifier","source_type","verification_status","theme","rq_alignment","target_section","likely_use","add_to_bibtex_priority","risk_or_limitation","notes"
"REC-011","2025","Efficient Data Selection for Domain Adaptation of ASR Using Pseudo-Labels and Multi-Stage Filtering","Pradeep Rangappa et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/rangappa25_interspeech.html","Conference paper","Verified-primary-source","Pseudo-label filtering and domain adaptation","RQ3; RQ5","Sections 7; 9","Multi-stage filtering and efficient data-selection evidence","P1","Filtering quality is domain and teacher dependent.","Repository currently labels this source uncertain; official ISCA page resolves the venue."
"REC-012","2025","Character Error Rate Estimation for Semi-Supervised Training of Speech Recognition for Arabic Dialects","Chanho Park; Oscar Saz","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/park25f_interspeech.html","Conference paper","Verified-primary-source","Pseudo-label confidence and dialectal ASR","RQ5; RQ6","Sections 9; 10","Dialect-aware semi-supervised reliability evidence","P1","Arabic-dialect findings require careful transfer to other scripts and languages.","Useful bridge between supervision quality and dialect evaluation."
"REC-013","2025","MSDA: Combining Pseudo-labeling and Self-Supervision for Unsupervised Domain Adaptation in ASR","Dimitrios Damianos; Georgios Paraskevopoulos; Alexandros Potamianos","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/damianos25_interspeech.html","Conference paper","Verified-primary-source","Pseudo-labeling and domain adaptation","RQ4; RQ5","Sections 8; 9","Current unsupervised-domain-adaptation evidence","P1","Domain adaptation evidence may not transfer to language scarcity.","Extract teacher, filtering, and target-domain assumptions."
"REC-014","2025","A Self-Training Approach for Whisper to Enhance Long Dysarthric Speech Recognition","Shiyao Wang et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/wang25g_interspeech.html","Conference paper","Verified-primary-source","Self-training and impaired-speech robustness","RQ5; RQ6","Sections 9; 10","Self-training case under atypical speech conditions","P2","Long dysarthric speech is a specialized domain and subgroup.","Use as robustness evidence, not as a general low-resource result."
"REC-015","2025","Delayed-KD: Delayed Knowledge Distillation based CTC for Low-Latency Streaming ASR","Longhao Li et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/li25u_interspeech.html","Conference paper","Verified-primary-source","Knowledge distillation and efficient ASR","RQ5; RQ6","Sections 9; 13","Contemporary KD and streaming-efficiency evidence","P2","Low-latency goals differ from language-resource scarcity.","Use for KD mechanism and deployment constraints only."
"REC-016","2025","Analyzing the Importance of Blank for CTC-Based Knowledge Distillation","Benedikt Hilmes; Nick Rossenbach; Ralf Schluter","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/hilmes25_interspeech.html","Conference paper","Verified-primary-source","Knowledge-distillation reliability","RQ5","Section 9","CTC-specific KD mechanism and label-distribution evidence","P2","Architecture-specific evidence may not generalize to seq2seq or transducer models.","Useful for a more technical KD reliability discussion."
"REC-017","2025","Language-Aware Prompt Tuning for Parameter-Efficient Seamless Language Expansion in Multilingual ASR","Hongli Yang et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/yang25m_interspeech.html","Conference paper","Verified-primary-source","PEFT adapters LoRA QLoRA and prompting for ASR","RQ4","Sections 8; 13","Language expansion through parameter-efficient prompt tuning","P1","Language expansion results need forgetting and compute checks.","Direct recent support for prompt-based ASR adaptation."
"REC-018","2025","Efficient Multilingual ASR Finetuning via LoRA Language Experts","Jiahong Li et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/li25p_interspeech.html","Conference paper","Verified-primary-source","PEFT adapters LoRA QLoRA for ASR","RQ4","Sections 8; 13","ASR-specific LoRA expert evidence","P1","Parameter efficiency must be separated from total training and inference cost.","High-priority Table 3 candidate."
"REC-019","2025","Mixture of LoRA Experts for Low-Resourced Multi-Accent Automatic Speech Recognition","Raphael Bagat; Irina Illina; Emmanuel Vincent","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/bagat25_interspeech.html","Conference paper","Verified-primary-source","PEFT LoRA and multi-accent ASR","RQ4; RQ6","Sections 8; 10","Multi-accent LoRA adaptation evidence","P1","Accent datasets and routing assumptions may limit generality.","Strong bridge between PEFT and subgroup robustness."
"REC-020","2025","CBA-Whisper: Curriculum Learning-Based AdaLoRA Fine-Tuning on Whisper for Low-Resource Dysarthric Speech Recognition","Tianyi Tan et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/tan25b_interspeech.html","Conference paper","Verified-primary-source","PEFT AdaLoRA and low-resource ASR","RQ4; RQ6","Sections 8; 10","AdaLoRA and curriculum-learning case evidence","P2","Dysarthric speech is a specialized low-resource condition.","Useful for conditional adaptation guidance."
"REC-021","2025","Adapting Whisper for Parameter-efficient Code-Switching Speech Recognition via Soft Prompt Tuning","Hongli Yang et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/yang25p_interspeech.html","Conference paper","Verified-primary-source","PEFT prompting and code-switching ASR","RQ4; RQ6","Sections 8; 10","Prompt-tuning and code-switching evidence","P1","Task-specific gains may depend on language pair and switch pattern.","Replaces an arXiv-only interpretation with an official venue source."
"REC-022","2025","OWSM-Biasing: Contextualizing Open Whisper-Style Speech Models for Automatic Speech Recognition with Dynamic Vocabulary","Yui Sudo et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/sudo25b_interspeech.html","Conference paper","Verified-primary-source","LLM-assisted contextual ASR correction and biasing","RQ2; RQ6","Sections 4; 11","Open-model contextual biasing evidence","P1","Biasing can over-correct or leak context into recognition.","Use with explicit source-grounding and over-correction safeguards."
"REC-023","2025","Effects of Speaker Count, Duration, and Accent Diversity on Zero-Shot Accent Robustness in Low-Resource ASR","Zheng Xin Yong et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/yong25_interspeech.html","Conference paper","Verified-primary-source","Accent robustness and low-resource evaluation","RQ1; RQ6","Sections 3; 10","Evidence on data composition and zero-shot accent robustness","P1","Accent coverage is dataset dependent.","High-priority evaluation and resource-condition candidate."
"REC-024","2025","Leveraging Geographic Metadata for Dialect-Aware Speech Recognition","Pouya Mehralian; Hugo Van hamme","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/mehralian25_interspeech.html","Conference paper","Verified-primary-source","Dialect-aware evaluation and metadata","RQ1; RQ3; RQ6","Sections 5; 10","Geographic metadata and dialect-aware modeling evidence","P1","Geographic metadata can be sensitive and is an imperfect dialect proxy.","Use with ethical and privacy caveats."
"REC-025","2025","CS-FLEURS: A Massively Multilingual and Code-Switched Speech Dataset","Brian Yan et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/yan25c_interspeech.html","Conference paper","Verified-primary-source","Code-switching dataset and multilingual benchmarking","RQ1; RQ3; RQ6","Sections 5; 10","Dataset and benchmark candidate for code-switching evaluation","P1","Synthetic or constructed switching conditions may differ from natural switching.","High-priority Table 2 candidate."
"REC-026","2025","Overcoming Data Scarcity in Multi-Dialectal Arabic ASR via Whisper Fine-Tuning","Omer Tarik Ozyilmaz; Matt Coler; Matias Valdenegro-Toro","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/ozyilmaz25_interspeech.html","Conference paper","Verified-primary-source","Dialect adaptation and regional case study","RQ4; RQ6","Sections 8; 10","Multi-dialect Arabic adaptation case","P2","Single regional setting and base-model choice limit generality.","Use as one of several regional cases."
"REC-027","2025","Automatic Speech Recognition for Low-Resourced Middle Eastern Languages","Razhan Hameed; Sina Ahmadi; Hanah Hadi; Rico Sennrich","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/hameed25_interspeech.html","Conference paper","Verified-primary-source","Low-resource regional case studies","RQ1; RQ2; RQ6","Sections 3; 4; 10","Cross-language Middle Eastern ASR evidence","P1","Language-specific resource and script conditions require separate reporting.","Strong regional-balance candidate."
"REC-028","2025","A Practitioner's Guide to Building ASR Models for Low-Resource Languages: A Case Study on Scottish Gaelic","Ondrej Klejch; William Lamb; Peter Bell","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/klejch25_interspeech.html","Conference paper","Verified-primary-source","Low-resource European case study and workflow","RQ1; RQ3; RQ4","Sections 3; 7; 8","Practical resource and system-building case","P2","Single-language workflow should remain illustrative.","Useful counterweight to model-only narratives."
"REC-029","2025","From Scarcity to Sufficiency: Speech Recognition Pipeline for Zero-resource Language","Nikolay Karpov et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/karpov25_interspeech.html","Conference paper","Verified-primary-source","Zero-resource pipeline and regional case study","RQ1; RQ3; RQ4","Sections 3; 7; 8","Pipeline-level evidence for building a recognizer from scarcity","P1","Pipeline components and language setting may not generalize.","High-value practical low-resource evidence."
"REC-030","2025","Adapting Whisper for Low-Resource Hindi-English Code-Mix Speech with On-the-Fly Augmentation and LLM-Synthesised Data","Astik Biswas et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/biswas25_interspeech.html","Conference paper","Verified-primary-source","Code-switching augmentation and LLM-generated data","RQ3; RQ4; RQ6","Sections 7; 8; 10","Current code-mix augmentation case","P2","Synthetic data can distort switch patterns and language balance.","Use with generated-data quality safeguards."
"REC-031","2025","Optimizing ASR for Catalan-Spanish Code-Switching: A Comparative Analysis of Methodologies","Carlos Mena et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/mena25_interspeech.html","Conference paper","Verified-primary-source","Code-switching adaptation and evaluation","RQ4; RQ6","Sections 8; 10","Comparative code-switching methodology evidence","P2","Language-pair-specific evidence.","Useful for showing that code-switching method choice is conditional."
"REC-032","2025","A Multi-Dialectal Dataset for German Dialect ASR and Dialect-to-Standard Speech Translation","Verena Blaschke et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/blaschke25_interspeech.html","Conference paper","Verified-primary-source","Dialect dataset and task-boundary evaluation","RQ1; RQ3; RQ6","Sections 5; 10; 11","Dataset evidence separating transcription from dialect-to-standard translation","P1","ASR and speech translation outputs must not be conflated.","High-priority task-boundary candidate."
"REC-033","2025","SardinianVoxes: A Speech Recognition Dataset for the Sardinian Languages","Salvatore Carta et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/carta25_interspeech.html","Conference paper","Verified-primary-source","Regional low-resource dataset","RQ1; RQ3; RQ6","Sections 5; 10","Sardinian-language resource and benchmark evidence","P2","Dataset scale and domain may limit broad conclusions.","Useful European minority-language dataset candidate."
"REC-034","2025","The Multimodal Information Based Speech Processing (MISP) 2025 Challenge: Audio-Visual Diarization and Recognition","Ming Gao et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/gao25g_interspeech.html","Conference paper","Verified-primary-source","AVSR and multimodal robustness","RQ6","Sections 10; 11","Recent AVSR challenge and protocol evidence","P1","Challenge conditions may not represent low-resource languages.","Use for current AVSR evaluation design, not universal low-resource claims."
"REC-035","2025","Efficient Noise-Robust Hybrid Audiovisual Encoder with Joint Distillation and Pruning for Audiovisual Speech Recognition","Zhengyang Li et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/li25q_interspeech.html","Conference paper","Verified-primary-source","AVSR efficiency robustness and distillation","RQ5; RQ6","Sections 9; 11","Efficiency and noise-robust AVSR evidence","P2","Audiovisual resource availability remains a major transfer constraint.","Useful bridge among KD, compute, and multimodal robustness."
"REC-036","2025","ViCocktail: Automated Multi-Modal Data Collection for Vietnamese Audio-Visual Speech Recognition","Thai-Binh Nguyen et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/nguyen25d_interspeech.html","Conference paper","Verified-primary-source","AVSR dataset and regional case study","RQ3; RQ6","Sections 5; 11","Recent audiovisual data-collection evidence","P2","Vietnamese and cocktail-party conditions are specific.","Use for multimodal resource requirements."
"REC-037","2025","Cocktail-Party Audio-Visual Speech Recognition","Thai-Binh Nguyen; Ngoc-Quan Pham; Alexander Waibel","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/nguyen25b_interspeech.html","Conference paper","Verified-primary-source","AVSR and noisy multi-speaker robustness","RQ6","Sections 10; 11","Recent multi-speaker AVSR evidence","P2","May rely on audiovisual conditions unavailable in low-resource deployment.","Use to bound modality-benefit claims."
"REC-038","2025","Calm-Whisper: Reduce Whisper Hallucination on Non-Speech by Calming Crazy Heads Down","Yingzhi Wang et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/wang25b_interspeech.html","Conference paper","Verified-primary-source","Hallucination evaluation and mitigation","RQ6","Sections 10; 11","Model-level non-speech hallucination evidence","P1","Mitigation is Whisper-specific and may not address semantic over-correction.","High-priority Table 5 candidate."
"REC-039","2025","Teaching Audio-Aware Large Language Models What Does Not Hear: Mitigating Hallucinations through Synthesized Negative Samples","Chun-Yi Kuan; Hung-yi Lee","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/kuan25_interspeech.html","Conference paper","Verified-primary-source","Audio-LLM hallucination mitigation","RQ6","Sections 10; 11","Negative-sample method for unsupported audio-language output","P1","Synthetic negatives may not cover real hallucination modes or language bias.","Use for safeguards, not solved-problem claims."
"REC-040","2025","An Exploratory Framework for LLM-Assisted Human Annotation of Speech Datasets","Alexander Johnson et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/johnson25_interspeech.html","Conference paper","Verified-primary-source","LLM-assisted data annotation","RQ3; RQ6","Sections 7; 11","Human-in-the-loop annotation and quality-control evidence","P2","Exploratory framework; annotation errors and bias require auditing.","Relevant to bounded LLM assistance in data pipelines."
"REC-041","2025","Whilter: A Whisper-Based Data Filter for In-the-Wild Speech Corpora Using Utterance-Level Multi-Task Classification","William Ravenscroft et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/ravenscroft25_interspeech.html","Conference paper","Verified-primary-source","Data filtering and weakly labeled corpora","RQ3","Section 7","Current in-the-wild filtering evidence","P1","Filter errors can remove difficult or minority speech disproportionately.","Strong data-centric candidate."
"REC-042","2025","Cross-Lingual Data Selection Using Clip-Level Acoustic Similarity for Enhancing Low-Resource Automatic Speech Recognition","Shunsuke Mitsumori et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/mitsumori25_interspeech.html","Conference paper","Verified-primary-source","Cross-lingual data selection","RQ3; RQ4","Sections 7; 8","Acoustic-similarity selection evidence","P1","Similarity measures may encode domain or speaker bias.","Useful for connecting data selection to adaptation."
"REC-043","2025","Selective Invocation for Multilingual ASR: A Cost-Effective Approach Adapting to Speech Recognition Difficulty","Hongfei Xue et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/xue25_interspeech.html","Conference paper","Verified-primary-source","Compute-efficient multilingual ASR","RQ4; RQ6","Sections 8; 13","Conditional compute and deployment evidence","P2","System complexity and routing errors may offset efficiency gains.","Use for compute-aware adaptation."
"REC-044","2025","Tone Recognition in Low-Resource Languages of North-East India: Peeling the Layers of SSL-Based Speech Models","Parismita Gogoi et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/gogoi25b_interspeech.html","Conference paper","Verified-primary-source","Regional low-resource and tonal-language case study","RQ1; RQ2; RQ6","Sections 3; 4; 10","Tone and SSL representation evidence","P2","Tone recognition is narrower than full ASR.","Use as a language-condition illustration."
"REC-045","2025","A Cookbook for Community-Driven Data Collection of Impaired Speech in Low-Resource Languages","Sumaya Ahmed Salihs et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/salihs25_interspeech.html","Conference paper","Verified-primary-source","Community data collection and impaired speech","RQ1; RQ3; RQ6","Sections 5; 7; 13","Community-centered resource-building evidence","P1","Ethics, consent, privacy, and representativeness are central limitations.","Important for practical and equitable resource creation."
"REC-046","2025","Omnilingual ASR: Open-Source Multilingual Speech Recognition for 1600+ Languages","Omnilingual ASR team et al.","arXiv","https://arxiv.org/abs/2511.09690","Preprint","Watchlist-ArXiv","Omnilingual and massively multilingual ASR","RQ2; RQ6","Sections 4; 10; 13","Emerging long-tail language coverage watchlist","P2-Watchlist","Preprint claims require independent replication and language-wise auditing.","Do not use as sole support for broad coverage claims."
"REC-047","2025","Qwen2.5-Omni Technical Report","Jin Xu et al.","arXiv","https://arxiv.org/abs/2503.20215","Preprint","Watchlist-ArXiv","SpeechLM and multimodal foundation models","RQ2; RQ6","Sections 11; 13","Architecture and multimodal watchlist","P3-Watchlist","Low-resource ASR validation is thin and task boundaries are broad.","Future-facing only unless direct ASR evidence is verified."
"REC-048","2025","LESS: Large Language Model Enhanced Semi-Supervised Learning for Speech Foundational Models Using In-the-Wild Data","Wen Ding; Fan Qian","arXiv","https://arxiv.org/abs/2506.04586","Preprint","Watchlist-ArXiv","LLM-assisted pseudo-labeling and semi-supervised ASR","RQ5; RQ6","Sections 9; 11; 13","Emerging pseudo-label refinement watchlist","P2-Watchlist","Hallucination, leakage, and over-correction require explicit evaluation.","Do not promote as peer-reviewed until an official venue page is verified."
"REC-049","2025","Hallucination Benchmark for Speech Foundation Models","Alkis Koudounas et al.","arXiv","https://arxiv.org/abs/2510.16567","Preprint","Watchlist-ArXiv","Hallucination and unsupported-content evaluation","RQ6","Sections 10; 11; 13","Emerging benchmark watchlist","P2-Watchlist","Benchmark maturity and external uptake remain uncertain.","Use only as future-facing support until venue verification."
"REC-050","2025","ContextASR-Bench: A Massive Contextual Speech Recognition Benchmark","He Wang et al.","arXiv","https://arxiv.org/abs/2507.05727","Preprint","Watchlist-ArXiv","Contextual ASR correction and over-correction evaluation","RQ6","Sections 10; 11; 13","Contextual and named-entity ASR watchlist","P2-Watchlist","Context leakage and benchmark contamination require auditing.","Do not use as sole evidence that contextual assistance is reliable."
"REC-051","2026","Qwen3-ASR Technical Report","Xian Shi et al.","arXiv","https://arxiv.org/abs/2601.21337","Preprint","Watchlist-ArXiv","SpeechLM and multilingual ASR","RQ2; RQ6","Sections 4; 11; 13","ASR-specific 2026 model watchlist","P2-Watchlist","Preprint and limited independent evaluation.","No manuscript use until model coverage and benchmark protocols are audited."
"REC-052","2026","Probing Multilingual and Accent Robustness of Speech LLMs","Emre Baran; Chia-Yu Hung","EACL 2026","https://aclanthology.org/2026.eacl-long.122/","Conference paper","Verified-primary-source","SpeechLM accent robustness and African languages","RQ2; RQ6","Sections 10; 11; 13","Verified 2026 robustness and PEFT evidence","P1","Regional benchmark does not establish global SpeechLM robustness.","Strongest current 2026 primary-source candidate."
"REC-053","2026","LoASR-Bench: Evaluating Large Speech Language Models on Low-Resource Automatic Speech Recognition Across Language Families","Jianan Chen et al.","arXiv","https://arxiv.org/abs/2603.20042","Preprint","Watchlist-ArXiv","Low-resource SpeechLM benchmark","RQ2; RQ6","Sections 10; 11; 13","Cross-family SpeechLM evaluation watchlist","P2-Watchlist","Preprint protocol and community uptake remain unsettled.","Useful for future agenda only until peer-reviewed."
"REC-054","2026","ReHear: Iterative Pseudo-Label Refinement for Semi-Supervised Speech Recognition via Audio Large Language Models","Zefang Liu et al.","arXiv","https://arxiv.org/abs/2602.18721","Preprint","Watchlist-ArXiv","Audio-LLM pseudo-label refinement","RQ5; RQ6","Sections 9; 11; 13","Emerging iterative refinement watchlist","P2-Watchlist","Confirmation bias, hallucination, and benchmark leakage remain concerns.","Do not treat generated labels as verified transcripts."
"REC-055","2026","Can Large Language Models Reliably Correct Errors in Low-Resource ASR? A Contamination-Aware Case Study on West Frisian","Yun Hao et al.","arXiv","https://arxiv.org/abs/2605.19711","Preprint","Watchlist-ArXiv","LLM-assisted ASR correction and contamination","RQ6","Sections 10; 11; 13","Direct low-resource correction reliability watchlist","P2-Watchlist","Single-language case and preprint status; contamination analysis must be inspected closely.","Highly relevant to bounded correction claims."
"REC-056","2026","Responsible Benchmarking of Fairness for Automatic Speech Recognition","Felix Herron et al.","arXiv","https://arxiv.org/abs/2605.10615","Preprint","Watchlist-ArXiv","Fairness and demographic evaluation","RQ6","Sections 10; 13","Emerging fairness-benchmarking guidance","P2-Watchlist","Fairness definitions and subgroup metadata may not transfer across settings.","Screen for reporting principles after peer-review status is known."
"REC-057","2026","Beyond Single Ground Truth: Reference Monism as Epistemic Injustice in ASR Evaluation","Anna Seo Gyeong Choi et al.","arXiv","https://arxiv.org/abs/2605.07084","Preprint","Watchlist-ArXiv","Orthography and multiple-valid-reference evaluation","RQ1; RQ6","Sections 3; 10; 13","Emerging critique of single-reference scoring","P2-Watchlist","Conceptual framing and empirical scope require full-text review.","Potential support for orthography-aware evaluation, not yet central evidence."
"REC-058","2026","SN-WER: Script-Normalized WER for Multi-Script Indic ASR Evaluation","Priyaranjan Pattnayak","arXiv","https://arxiv.org/abs/2606.02548","Preprint","Watchlist-ArXiv","Script and normalization-aware evaluation","RQ1; RQ6","Sections 3; 10; 13","Emerging multi-script scoring watchlist","P2-Watchlist","Metric behavior and language coverage need independent validation.","Directly relevant to the normalization and script-complexity argument."
"REC-059","2026","GC-LoRA: Gated Convolutional LoRA for Parameter-Efficient Acoustic Adaptation","Natarajan Balaji Shankar et al.","arXiv","https://arxiv.org/abs/2606.10464","Preprint","Watchlist-ArXiv","PEFT adapters LoRA QLoRA for ASR","RQ4","Sections 8; 13","Emerging acoustic-adaptation PEFT watchlist","P2-Watchlist","Very recent preprint; compute, baselines, and robustness require verification.","Do not cite as established evidence."
"REC-060","2026","Sometin Beta Pass Notin (SBPN): Improving Multilingual ASR for Nigerian Languages via Knowledge Distillation","Sewade Ogun","arXiv","https://arxiv.org/abs/2605.17710","Preprint","Watchlist-ArXiv","Knowledge distillation and African low-resource ASR","RQ5; RQ6","Sections 9; 10; 13","Emerging regional KD watchlist","P2-Watchlist","Preprint, regional scope, and benchmark details need verification.","Useful future-facing bridge between KD and regional evaluation."
